Sr No,Job Role,Min Salary(),Max Salary,Rating,Company,Location,State,Headquarter,Size,Founded,Type of Ownership,Industry,Sector,Revenue,Easy Apply
529,Data Analyst,"$41,000.00","$86,000.00",4.30,"National NeuroMonitoring
4.3",Addison, TX,"San Antonio, TX",51 to 200 employees,2008,Company - Private,Health Care Services & Hospitals,Health Care, / Non-Applicable,FALSE
1146,Data Management Analyst,"$30,000.00","$54,000.00",3.30,"Shands Jacksonville
3.3",Alachua, FL,"Jacksonville, FL",1001 to 5000 employees,1984,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$500 million to $1 billion (USD),FALSE
2130,Senior Data Analyst,"$47,000.00","$74,000.00",4.60,"Ascent
4.6",Alameda, CA,"Concord, CA",1001 to 5000 employees,2000,Company - Private,Staffing & Outsourcing,Business Services,$100 to $500 million (USD),FALSE
1955,Senior Data Analyst,"$65,000.00","$81,000.00",2.50,"Network Medical Management Inc
2.5",Alhambra, CA,"Alhambra, CA",501 to 1000 employees,1994,Company - Public,Health Care Services & Hospitals,Health Care, / Non-Applicable,FALSE
1954,Senior Data Analyst,"$35,000.00","$45,000.00",3.40,"Apollo Medical Holdings, Inc.
3.4",Alhambra, CA,"Sandy, UT",1 to 50 employees,,Company - Private,,,Less than $1 million (USD),FALSE
480,Data Analyst,"$37,000.00","$44,000.00",3.80,"Login Consulting Services, Inc
3.8",Allegheny West, PA,"El Segundo, CA",51 to 200 employees,,Company - Private,Consulting,Business Services,$5 to $10 million (USD),FALSE
2113,Senior Data Analyst,"$50,000.00","$93,000.00",3.80,"Login Consulting Services, Inc
3.8",Allegheny West, PA,"El Segundo, CA",51 to 200 employees,,Company - Private,Consulting,Business Services,$5 to $10 million (USD),FALSE
61,Data Analyst,"$44,000.00","$78,000.00",4.10,"APN Software Services Inc.
4.1",Allen, TX,"Newark, CA",51 to 200 employees,,Company - Private,Computer Hardware & Software,Information Technology,$25 to $50 million (USD),FALSE
734,Data Analyst,"$48,000.00","$88,000.00",3.30,"ClientSolv Technologies
3.3",Allen, TX,"Greenwood Village, CO",51 to 200 employees,1994,Company - Private,IT Services,Information Technology,$10 to $25 million (USD),FALSE
1079,Data Conversion Analyst,"$24,000.00","$48,000.00",4.30,"Harris Computer
4.3",Allen, TX,"Ottawa, Canada",5001 to 10000 employees,1976,Subsidiary or Business Segment,Computer Hardware & Software,Information Technology,$500 million to $1 billion (USD),FALSE
1080,Data Conversion Analyst,"$44,000.00","$82,000.00",,Harris Local Government Solutions Inc,Allen, TX,,,,,,,,FALSE
768,Data Analyst,"$26,000.00","$47,000.00",3.30,"ClientSolv Technologies
3.3",American Fork, UT,"Greenwood Village, CO",51 to 200 employees,1994,Company - Private,IT Services,Information Technology,$10 to $25 million (USD),FALSE
399,Data Analyst,"$57,000.00","$1,03,000.00",3.90,"Acorns
3.9",Anaheim, CA,"Irvine, CA",201 to 500 employees,,Company - Private,Brokerage Services,Finance, / Non-Applicable,FALSE
395,Data Analyst,"$37,000.00","$70,000.00",2.90,"Arize Corporation
2.9",Anaheim, CA,"New York, NY",201 to 500 employees,,Company - Private,Publishing,Media,$50 to $100 million (USD),FALSE
1698,Radar Telemetry Data Analyst,"$42,000.00","$63,000.00",,TopTalentFetch,Anaheim, CA,,,,,,,,FALSE
1699,Radar Telemetry Data Analyst,"$42,000.00","$63,000.00",,Stark HR Consulting LLC,Anaheim, CA,,,,,,,,FALSE
1700,Radar Telemetry Data Analyst,"$42,000.00","$63,000.00",,Devotion Business Solutions,Anaheim, CA,,,,,,,,FALSE
1701,Radar Telemetry Data Analyst,"$1,13,000.00","$1,32,000.00",,KLM Careers,Anaheim, CA,,,,,,,,FALSE
2138,Senior Data Governance Analyst,"$1,13,000.00","$1,32,000.00",4.00,"Lorven Technologies Inc
4.0",Arcadia, CA,"Plainsboro, NJ",1 to 50 employees,,Company - Private,Accounting,Accounting & Legal,Less than $1 million (USD),FALSE
2180,Systems and Data Analyst,"$1,13,000.00","$1,32,000.00",2.90,"Pacific Clinics
2.9",Arcadia, CA,"Arcadia, CA",501 to 1000 employees,1926,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$50 to $100 million (USD),FALSE
18,Data Analyst,"$42,000.00","$66,000.00",,Easyfind Company,Arcadia, CA,"Noida, India",1 to 50 employees,,Company - Private,,, / Non-Applicable,FALSE
1755,SAS Data Analyst,"$68,000.00","$87,000.00",4.00,"Lorven Technologies Inc
4.0",Arlington Heights, IL,"Plainsboro, NJ",1 to 50 employees,,Company - Private,Accounting,Accounting & Legal,Less than $1 million (USD),FALSE
1725,Research Data Analyst,"$30,000.00","$53,000.00",2.60,"North Central Texas Council of Governments
2.6",Arlington, TX,"Arlington, TX",201 to 500 employees,1966,Nonprofit Organization,Membership Organizations,Business Services,$10 to $25 million (USD),FALSE
152,Business Analyst,"$48,000.00","$88,000.00",4.20,"University of Texas at Arlington
4.2",Arlington, TX,"Arlington, TX",1001 to 5000 employees,1967,College / University,Colleges & Universities,Education,$100 to $500 million (USD),FALSE
808,Data Analyst,"$44,000.00","$82,000.00",4.20,"University of Texas at Arlington
4.2",Arlington, TX,"Arlington, TX",1001 to 5000 employees,1967,College / University,Colleges & Universities,Education,$100 to $500 million (USD),FALSE
530,Data Analyst,"$41,000.00","$86,000.00",2.80,"Ho Chunk
2.8",Arlington, TX,"Winnebago, NE",201 to 500 employees,1995,Company - Private,Convenience Stores & Truck Stops,"Restaurants, Bars & Food Services",$100 to $500 million (USD),FALSE
1870,Senior Data Analyst,"$48,000.00","$88,000.00",2.80,"Ho Chunk
2.8",Arlington, TX,"Winnebago, NE",201 to 500 employees,1995,Company - Private,Convenience Stores & Truck Stops,"Restaurants, Bars & Food Services",$100 to $500 million (USD),FALSE
753,Data Analyst,"$24,000.00","$48,000.00",3.30,"Lidl
3.3",Arlington, TX,"London, United Kingdom",10000+ employees,1994,Company - Private,Grocery Stores & Supermarkets,Retail,$10+ billion (USD),FALSE
780,Data Analyst,"$24,000.00","$48,000.00",3.30,"Lidl
3.3",Arlington, TX,"London, United Kingdom",10000+ employees,1994,Company - Private,Grocery Stores & Supermarkets,Retail,$10+ billion (USD),FALSE
1967,Senior Data Quality Analyst,"$44,000.00","$78,000.00",3.20,"FirstAmerica
3.2",Arlington, TX,"Aberdeen, United Kingdom",10000+ employees,1995,Company - Private,Transportation Management,Transportation & Logistics,$5 to $10 billion (USD),FALSE
2168,Student Data Analyst,"$32,000.00","$56,000.00",4.20,"University of Georgia
4.2",Athens, GA,"Athens, GA",10000+ employees,1785,College / University,Colleges & Universities,Education,$2 to $5 billion (USD),FALSE
672,Data Analyst,"$32,000.00","$56,000.00",5.00,"Staffigo Technical Services, LLC
5.0",Athens, GA,"Woodridge, IL",51 to 200 employees,2008,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),FALSE
920,Data Analyst,"$32,000.00","$56,000.00",5.00,"Staffigo Technical Services, LLC
5.0",Athens, GA,"Woodridge, IL",51 to 200 employees,2008,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),FALSE
1503,Junior Data Analyst,"$32,000.00","$56,000.00",5.00,"Staffigo Technical Services, LLC
5.0",Athens, GA,"Woodridge, IL",51 to 200 employees,2008,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),FALSE
1047,Senior Data Analyst,"$57,000.00","$1,00,000.00",4.00,"Kaiser Permanente
4.0",Aurora, CO,"Oakland, CA",10000+ employees,1945,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$10+ billion (USD),FALSE
1800,Senior Contract Data Analyst,"$78,000.00","$1,04,000.00",4.00,"Amyx, Inc.
4.0",Aurora, CO,"Reston, VA",501 to 1000 employees,1999,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),FALSE
698,Data Analyst,"$57,000.00","$1,00,000.00",2.60,"Signature Retail Services
2.6",Aurora, CO,"Aurora, IL",501 to 1000 employees,1991,Company - Private,Home Centers & Hardware Stores,Retail, / Non-Applicable,FALSE
687,Data Analyst,"$49,000.00","$91,000.00",,Private,Aurora, CO,,,,,,,,FALSE
1801,Senior Contract Data Analyst,"$78,000.00","$1,04,000.00",,"Amyx, Iinc.",Aurora, CO,,,,,,,,FALSE
749,Data Analyst,"$35,000.00","$42,000.00",3.80,"Sense Corp
3.8",Austin, TX,"Saint Louis, MO",201 to 500 employees,1996,Company - Private,Accounting,Accounting & Legal,$10 to $25 million (USD),FALSE
167,Business Data Analyst,"$42,000.00","$76,000.00",4.60,"Pushnami
4.6",Austin, TX,"Austin, TX",1 to 50 employees,2017,Company - Private,Advertising & Marketing,Business Services,$25 to $50 million (USD),FALSE
581,Data Analyst,"$53,000.00","$1,04,000.00",2.50,"Avacend, Inc.
2.5",Austin, TX,"Alpharetta, GA",51 to 200 employees,,Company - Private,Staffing & Outsourcing,Business Services, / Non-Applicable,FALSE
792,Data Analyst,"$42,000.00","$76,000.00",4.90,"Cypress HCM
4.9",Austin, TX,"Walnut Creek, CA",51 to 200 employees,2005,Company - Private,Staffing & Outsourcing,Business Services, / Non-Applicable,FALSE
801,Data Analyst,"$53,000.00","$1,04,000.00",2.50,"Avacend, Inc.
2.5",Austin, TX,"Alpharetta, GA",51 to 200 employees,,Company - Private,Staffing & Outsourcing,Business Services, / Non-Applicable,FALSE
1010,Data Analyst,"$53,000.00","$1,04,000.00",3.90,"ARK Solutions, Inc.
3.9",Austin, TX,"Gainesville, VA",1 to 50 employees,2015,Company - Private,Consulting,Business Services, / Non-Applicable,FALSE
1207,Data Reporting Analyst,"$42,000.00","$76,000.00",4.60,"Pushnami
4.6",Austin, TX,"Austin, TX",1 to 50 employees,2017,Company - Private,Advertising & Marketing,Business Services,$25 to $50 million (USD),FALSE
1278,Data Warehouse Analyst,"$35,000.00","$42,000.00",3.90,"Octo Consulting Group
3.9",Austin, TX,"Reston, VA",501 to 1000 employees,2006,Company - Private,Consulting,Business Services,$50 to $100 million (USD),FALSE
1434,Industry Analyst,"$35,000.00","$42,000.00",3.50,"GasPedal
3.5",Austin, TX,"Austin, TX",1 to 50 employees,2007,Company - Private,Membership Organizations,Business Services,$5 to $10 million (USD),FALSE
1543,Lead Data Analyst,"$35,000.00","$42,000.00",3.50,"GasPedal
3.5",Austin, TX,"Austin, TX",1 to 50 employees,2007,Company - Private,Membership Organizations,Business Services,$5 to $10 million (USD),FALSE
579,Data Analyst,"$42,000.00","$76,000.00",3.50,"Robert Half
3.5",Austin, TX,"Menlo Park, CA",10000+ employees,1948,Company - Public,Staffing & Outsourcing,Business Services,$2 to $5 billion (USD),FALSE
979,Data Analyst,"$35,000.00","$42,000.00",3.80,"Booz Allen Hamilton
3.8",Austin, TX,"Mc Lean, VA",10000+ employees,1914,Company - Public,Consulting,Business Services,$5 to $10 billion (USD),FALSE
1493,Junior Data Analyst,"$42,000.00","$76,000.00",3.40,"Assembly
3.4",Austin, TX,"New York, NY",5001 to 10000 employees,1980,Company - Public,Advertising & Marketing,Business Services,$1 to $2 billion (USD),FALSE
1491,Junior Data Analyst,"$42,000.00","$76,000.00",2.60,"Assembly
2.6",Austin, TX,"New York, NY",201 to 500 employees,2014,Subsidiary or Business Segment,Advertising & Marketing,Business Services, / Non-Applicable,FALSE
745,Data Analyst,"$42,000.00","$76,000.00",4.60,"OnlineMedEd
4.6",Austin, TX,"Austin, TX",51 to 200 employees,2014,Company - Private,Colleges & Universities,Education, / Non-Applicable,FALSE
1318,Data Analyst,"$42,000.00","$76,000.00",4.70,"KGS
4.7",Austin, TX,"New York, NY",51 to 200 employees,2010,Company - Private,Investment Banking & Asset Management,Finance,$10 to $25 million (USD),FALSE
1153,Data Migration Analyst,"$53,000.00","$1,04,000.00",3.20,"Q2eBanking
3.2",Austin, TX,"Austin, TX",1001 to 5000 employees,2004,Company - Public,Investment Banking & Asset Management,Finance,$100 to $500 million (USD),FALSE
198,Business Intelligence Analyst,"$42,000.00","$76,000.00",3.90,"Teacher Retirement System of Texas
3.9",Austin, TX,"Austin, TX",501 to 1000 employees,1937,Government,Investment Banking & Asset Management,Finance, / Non-Applicable,FALSE
1277,Data Warehouse Analyst,"$35,000.00","$42,000.00",3.50,"University Federal Credit Union
3.5",Austin, TX,"Austin, TX",501 to 1000 employees,1936,Nonprofit Organization,Banks & Credit Unions,Finance,$50 to $100 million (USD),FALSE
10,Data Analyst,"$43,000.00","$77,000.00",2.80,"Texas Water Development Board
2.8",Austin, TX,"Austin, TX",201 to 500 employees,1957,Government,State & Regional Agencies,Government, / Non-Applicable,FALSE
13,Data Analyst,"$35,000.00","$42,000.00",2.80,"Texas Water Development Board
2.8",Austin, TX,"Austin, TX",201 to 500 employees,1957,Government,State & Regional Agencies,Government, / Non-Applicable,FALSE
78,Associate Data Analyst,"$35,000.00","$42,000.00",2.80,"Texas Education Agency
2.8",Austin, TX,"Austin, TX",501 to 1000 employees,,Government,State & Regional Agencies,Government,$100 to $500 million (USD),FALSE
575,Data Analyst,"$42,000.00","$76,000.00",2.80,"Texas Health & Human Services Commission
2.8",Austin, TX,"Austin, TX",10000+ employees,1912,Government,State & Regional Agencies,Government, / Non-Applicable,FALSE
846,Data Analyst,"$42,000.00","$76,000.00",2.80,"Texas Health and Human Services Commission
2.8",Austin, TX,"Austin, TX",10000+ employees,1912,Government,State & Regional Agencies,Government, / Non-Applicable,FALSE
868,Data Analyst,"$53,000.00","$1,04,000.00",4.60,"Texas Facilities Commission
4.6",Austin, TX,"Austin, TX",501 to 1000 employees,,Government,State & Regional Agencies,Government, / Non-Applicable,FALSE
884,Data Analyst,"$53,000.00","$1,04,000.00",2.80,"Texas Health & Human Services Commission
2.8",Austin, TX,"Austin, TX",10000+ employees,1912,Government,State & Regional Agencies,Government, / Non-Applicable,FALSE
904,Data Analyst,"$35,000.00","$42,000.00",2.80,"Texas Health & Human Services Commission
2.8",Austin, TX,"Austin, TX",10000+ employees,1912,Government,State & Regional Agencies,Government, / Non-Applicable,FALSE
944,Data Analyst,"$53,000.00","$1,04,000.00",2.80,"Texas Health & Human Services Commission
2.8",Austin, TX,"Austin, TX",10000+ employees,1912,Government,State & Regional Agencies,Government, / Non-Applicable,FALSE
1316,Senior Data Analyst,"$43,000.00","$77,000.00",3.40,"TEXAS DEPARTMENT OF PUBLIC SAFETY
3.4",Austin, TX,"Austin, TX",1001 to 5000 employees,,Government,Municipal Governments,Government, / Non-Applicable,FALSE
1492,Junior Data Analyst,"$42,000.00","$76,000.00",2.80,"Texas Health & Human Services Commission
2.8",Austin, TX,"Austin, TX",10000+ employees,1912,Government,State & Regional Agencies,Government, / Non-Applicable,FALSE
2166,Strategic Data Analyst,"$35,000.00","$42,000.00",3.80,"TxDOT
3.8",Austin, TX,"Austin, TX",10000+ employees,1991,Government,State & Regional Agencies,Government, / Non-Applicable,FALSE
2228,TSDS Data QA Analyst,"$53,000.00","$1,04,000.00",2.80,"TEXAS EDUCATION AGENCY
2.8",Austin, TX,"Austin, TX",501 to 1000 employees,,Government,State & Regional Agencies,Government,$100 to $500 million (USD),FALSE
197,Business Intelligence Analyst,"$42,000.00","$76,000.00",4.00,"TalentCare
4.0",Austin, TX,"Austin, TX",1 to 50 employees,2013,Company - Private,Health Care Services & Hospitals,Health Care,Less than $1 million (USD),FALSE
