Sr No,Job Role,Min Salary(),Max Salary,Rating,Company,Location,State,Headquarter,Size,Founded,Type of Ownership,Industry,Sector,Revenue,Easy Apply
672,Data Analyst,"$32,000.00","$56,000.00",5,1,Dallas, TX,,,,,,,,FALSE
920,Data Analyst,"$32,000.00","$56,000.00",5,1199SEIU Funds,New York, NY,"New York, NY",1001 to 5000 employees,,Nonprofit Organization,Insurance Carriers,Insurance,$100 to $500 million (USD),FALSE
1503,Junior Data Analyst,"$32,000.00","$56,000.00",5,1199SEIU Funds,New York, NY,"New York, NY",1001 to 5000 employees,,Nonprofit Organization,Insurance Carriers,Insurance,$100 to $500 million (USD),FALSE
578,Data Analyst,"$42,000.00","$76,000.00",5,1872 Consulting,Chicago, IL,"Chicago, IL",1 to 50 employees,,Company - Private,,, / Non-Applicable,FALSE
913,Data Analyst,"$35,000.00","$42,000.00",5,2000 east westmoreland st llc,King of Prussia, PA,,,,,,,,FALSE
1494,Junior Data Analyst,"$42,000.00","$76,000.00",5,212 Factors,Santa Clara, CA,,,,,,,,FALSE
1573,Marketing Data Analyst,"$49,000.00","$91,000.00",5,22nd Century Staffing,Denver, CO,"McLean, VA",51 to 200 employees,,Company - Private,Staffing & Outsourcing,Business Services,$5 to $10 million (USD),TRUE
54,Data Analyst,"$1,13,000.00","$1,32,000.00",5,22nd Century Staffing,Denver, CO,"McLean, VA",51 to 200 employees,,Company - Private,Staffing & Outsourcing,Business Services,$5 to $10 million (USD),TRUE
1622,Operations Data Analyst,"$42,000.00","$66,000.00",5,22nd Century Technologies,Austin, TX,"Somerset, NJ",1001 to 5000 employees,1997,Company - Private,IT Services,Information Technology,$25 to $50 million (USD),TRUE
2047,Senior Data Analyst,"$42,000.00","$66,000.00",5,22nd Century Technologies,Chicago, IL,"Somerset, NJ",1001 to 5000 employees,1997,Company - Private,IT Services,Information Technology,$25 to $50 million (USD),TRUE
